//dist, ballAng, tarAng, coll, obstAng, spin, for0, for1
 375.482, -0.762, -0.721, 335.676, -3.054, -0.006, 0.728, 0.750
 372.790, -0.763, -0.714, 339.552, -3.048, -0.006, 0.728, 0.750
 369.921, -0.764, -0.707, 343.667, -3.042, -0.006, 0.727, 0.750
 366.888, -0.766, -0.700, 348.022, -3.036, -0.006, 0.727, 0.750
 363.688, -0.768, -0.691, 352.616, -3.030, -0.006, 0.727, 0.750
 360.282, -0.770, -0.683, 357.443, -3.024, -0.006, 0.726, 0.750
 356.716, -0.773, -0.674, 362.508, -3.017, -0.006, 0.725, 0.750
 352.975, -0.776, -0.664, 367.808, -3.011, -0.006, 0.725, 0.750
 349.092, -0.780, -0.654, 373.348, -3.004, -0.007, 0.725, 0.750
 345.056, -0.783, -0.643, 379.124, -2.997, -0.007, 0.724, 0.750
 340.859, -0.788, -0.632, 385.133, -2.990, -0.007, 0.723, 0.750
 336.533, -0.793, -0.619, 391.381, -2.983, -0.007, 0.722, 0.750
 332.060, -0.798, -0.607, 397.860, -2.975, -0.007, 0.721, 0.750
 327.445, -0.804, -0.593, 404.571, -2.968, -0.008, 0.720, 0.750
 322.717, -0.810, -0.579, 406.410, 1.756, -0.008, 0.708, 0.750
 317.868, -0.817, -0.564, 407.641, 1.780, -0.008, 0.708, 0.750
 312.915, -0.824, -0.548, 409.074, 1.805, -0.008, 0.709, 0.750
 307.886, -0.833, -0.531, 410.699, 1.830, -0.008, 0.710, 0.750
 302.770, -0.843, -0.514, 412.556, 1.855, -0.008, 0.712, 0.732
 297.601, -0.853, -0.495, 414.631, 1.881, -0.008, 0.714, 0.702
 292.380, -0.865, -0.475, 416.955, 1.906, -0.008, 0.715, 0.674
 287.067, -0.878, -0.454, 419.609, 1.932, -0.008, 0.715, 0.649
 281.751, -0.891, -0.433, 422.513, 1.959, -0.009, 0.712, 0.620
 276.415, -0.903, -0.410, 425.722, 1.987, -0.010, 0.704, 0.588
 271.142, -0.914, -0.387, 429.174, 2.018, -0.012, 0.691, 0.554
 265.971, -0.923, -0.363, 432.851, 2.050, -0.015, 0.674, 0.519
 260.908, -0.930, -0.338, 436.763, 2.086, -0.018, 0.656, 0.484
